class,id,weight,length,width,area
A,1,1.273333333,103,41,3316.736444
A,2,0.856666667,79,35,2171.625922
A,3,0.603333333,70,26,1429.424657
A,4,1.31,89,45,3145.519644
A,5,0.923333333,84,34,2243.097155
B,1,0.903333333,126,56,5541.769441
B,2,0.78,115,48,4335.397862
B,3,0.566666667,92,40,2890.265241
B,4,0.476666667,92,40,2890.265241
B,5,0.483333333,85,39,2603.594912
C,1,0.89,111,46,4010.243022
C,2,1.38,129,58,5876.349059
C,3,0.89,110,48,4146.902303
C,4,0.876666667,112,45,3958.406744
C,5,1.146666667,112,58,5101.946469
D,1,0.956666667,103,45,3640.320487
D,2,0.943333333,101,40,3173.00858
D,3,0.843333333,93,46,3359.933343
D,4,1.066666667,109,43,3681.161192
D,5,0.983333333,104,45,3675.663405
E,1,0.83,105,51,4205.807165
E,2,0.316666667,80,37,2324.778564
E,3,0.7,108,48,4071.504079
E,4,0.393333333,81,37,2353.838296
E,5,0.68,105,56,4618.141201
